glyph name;code points
racute;U+0155
radical;U+221A
rcaron;U+0159
registered;U+00AE
ring;U+02DA
s;U+0073
sacute;U+015B
scaron;U+0161
scedilla;U+015F
scircumflex;U+015D
second;U+2033
section;U+00A7
semicolon;U+003B
seven;U+0037
seven.dnom;
seven.numr;
seven.ss02;
seven.tf;
six;U+0036
six.dnom;
six.numr;
six.ss02;
six.tf;
slash;U+002F
space;U+0020
space.ss02;
space.tf;
sterling;U+00A3
summation;U+2211
t;U+0074
tbar;U+0167
tcaron;U+0165
thorn;U+00FE
three;U+0033
three.dnom;
three.numr;
three.ss02;
three.tf;
threequarters;U+00BE
tilde;U+02DC
tildecomb;U+0303
trademark;U+2122
two;U+0032
two.dnom;
two.numr;
two.ss02;
two.tf;
u;U+0075
uacute;U+00FA
ubreve;U+016D
ucircumflex;U+00FB
udieresis;U+00FC
ugrave;U+00F9
uhungarumlaut;U+0171
umacron;U+016B
underscore;U+005F
uni00A0;U+00A0
uni00B2;U+00B2
uni00B3;U+00B3
uni00B5;U+00B5
uni00B9;U+00B9
uni0122;U+0122
uni0123;U+0123
uni0136;U+0136
uni0137;U+0137
uni013B;U+013B
uni013C;U+013C
uni0145;U+0145
uni0146;U+0146
uni0156;U+0156
uni0157;U+0157
uni0162;U+0162
uni0163;U+0163
uni0218;U+0218
uni0219;U+0219
uni021A;U+021A
uni021B;U+021B
uni0237;U+0237
uni02BC;U+02BC
uni0302;U+0302
uni0304;U+0304
uni0306;U+0306
uni0307;U+0307
uni0307.case;
uni0308;U+0308
uni0308.case;
uni030A;U+030A
uni030A.case;
uni030B;U+030B
uni030C;U+030C
uni030C.alt;
uni0312;U+0312
uni0326;U+0326
uni0327;U+0327
uni0328;U+0328
uni0335;U+0335
uni0336;U+0336
uni0337;U+0337
uni0338;U+0338
uni0338.case;
uni1E9E;U+1E9E
uni2000;U+2000
uni2001;U+2001
uni2002;U+2002
uni2003;U+2003
uni2004;U+2004
uni2005;U+2005
uni2006;U+2006
uni2007;U+2007
uni2008;U+2008
uni2009;U+2009
uni200A;U+200A
uni200B;U+200B
uni200C;U+200C
uni200D;U+200D
uni200E;U+200E
uni200F;U+200F
uni202F;U+202F
uni205F;U+205F
uni2070;U+2070
uni2074;U+2074
uni2075;U+2075
uni2076;U+2076
uni2077;U+2077
uni2078;U+2078
uni2079;U+2079
uni2080;U+2080
uni2081;U+2081
uni2082;U+2082
uni2083;U+2083
uni2084;U+2084
uni2085;U+2085
uni2086;U+2086
uni2087;U+2087
uni2088;U+2088
uni2089;U+2089
uni2117;U+2117
uni2126;U+2126
uni2153;U+2153
uni2154;U+2154
uni2196;U+2196
uni2197;U+2197
uni2198;U+2198
uni2199;U+2199
uni2206;U+2206
uni3000;U+3000
uogonek;U+0173
uring;U+016F
v;U+0076
w;U+0077
wacute;U+1E83
wcircumflex;U+0175
wdieresis;U+1E85
wgrave;U+1E81
x;U+0078
y;U+0079
yacute;U+00FD
ycircumflex;U+0177
ydieresis;U+00FF
yen;U+00A5
ygrave;U+1EF3
z;U+007A
zacute;U+017A
zcaron;U+017E
zdotaccent;U+017C
zero;U+0030
zero.dnom;
zero.numr;
zero.ss02;
zero.tf;
